id,question,letter,answer,img
480,W celu dokonania aktualizacji zainstalowanego systemu operacyjnego Linux Ubuntu należy użyć polecenia,D,apt-get upgrade,0
481,Wskaż nieprawidłowy podział dysku MBR na partycje,D,1 partycja podstawowa i 2 rozszerzone,0
482,Interfejs SLI (ang. Scalable Link Interface) służy do łączenia,A,dwóch kart graficznych,0
483,Jaki będzie koszt wymiany karty graficznej w komputerze jeśli karta kosztuje 250 zł jej wymiana zajmie pracownikowi serwisu 80 min a każda rozpoczęta roboczo godzina kosztuje 50 zł?,C,350 zł,0
484,W systemie operacyjnym Fedora katalogi domowe użytkowników umieszczone są w katalogu,D,/home,0
485,W systemie operacyjnym Ubuntu konto użytkownika student można usunąć za pomocą polecenia,A,userdel student,0
486,Użytkownik systemu Windows otrzymuje komunikaty o zbyt małej pamięci wirtualnej. Problem ten można rozwiązać przez,D,zwiększenie pamięci RAM,0
487,Program WinRaR wyświetlił okienko informacyjne pokazane na rysunku. Z jakiego typu licencji na program korzystał do tej pory użytkownik?,C,shareware,1
488,Licencja Windows OEM nie pozwala na wymianę,B,sprawnej płyty głównej na model o lepszych parametrach,0
489,Po uruchomieniu komputera pojawił się komunikat "Non-system disk or disk error. Replace and strike any key when ready". Przyczyną może być,D,dyskietka włożona do napędu,0
490,W drukarce laserowej do utrwalania wydruku wykorzystuje się,A,rozgrzane wałki,0
491,Jaki typ złącza musi posiadać płyta główna aby użytkownik mógł zainstalować przedstawioną na rysunku kartę graficzną?,D,PCIe x16,1
492,Które konto nie jest wbudowanym w systemie Windows XP ?,B,admin,0
493,System S.M.A.R.T. służy do monitorowania pracy i wykrywania błędów,C,dysków twardych,0
494,Po zainstalowaniu Systemu Windows 7 została w BIOS komputera zmieniona konfiguracja dysku SATA z AHCI na IDE. Po ponownym uruchomieniu komputera system będzie,A,resetował się podczas uruchamiania,0
495,W systemie operacyjnym Ubuntu do utworzenia archiwum danych należy wykorzystać program,B,tar,0
496,Interfejsem umożliwiającym przesyłanie danych pomiędzy pokazaną na rysunku płyta główna a urządzeniem zewnętrznym bez równoczesnego zasilania urządzenia zewnętrznego poprzez interfejs jest,D,SATA,1
497,W systemach operacyjnych Windows ograniczenie użytkownikom dostępu do poszczególnych katalogów plików lub dysków umożliwia system plików,C,NTFS,0
498,W dokumentacji technicznej procesora Intel Xeon Processor E3-1220 producent podaje następujące parametry: # of Cores: 4 # of Threads: 4 Clock Speed: 3.1 GHz Max Turbo Frequency: 3.4 GHz Intel Smart Cache: 8 MB DMI: 5 GT/s Instruction Set: 64 bit Instruction Set Extensions: SSE4.1/4.2 AVX Embedded Options Available: No Lithography: 32 nm Max TDP: 80 W. Oznacza to że Menedżer zadań systemu Windows będzie pokazywał historię użycia dla,B,4 procesorów,1
499,Użytkownik systemu Windows otrzymuje komunikaty o zbyt małej pamięci wirtualnej. Problem ten można rozwiązać przez,A,zwiększenie pamięci RAM,0
500,W hurtowni materiałów budowlanych istnieje konieczność jednoczesnego drukowania faktur w kilku egzemplarzach. Należy użyć drukarki,A,igłowej,0
501,Złącze IrDA do komunikacji bezprzewodowej jest,C,złączem szeregowym,0
502,Na który z nośników pamięci zewnętrznej nie przedostanie się wirus podczas odczytywania jego zawartości?,C,na płytę DVD-ROM,0
503,Adres MAC karty sieciowej zapisany w postaci binarnej wynosi 00000000-00010100-10000101-10001011-01101011-10001010. Który z zapisów jest postacią heksadecymalną tego adresu?,B,00-14-85-8B-6B-8A,0
504,Któremu zapisowi heksadecymalnemu odpowiada zapis binarny adresu komórki pamięci 0111 1100 1111 0110?,C,7CF6,0
505,Jaką funkcję pełni podzespół wskazany strzałką na schemacie chipsetu płyty głównej ?,C,Pozwala wykorzystać magistralę o szerokości 128 bitów do przesyłania danych pomiędzy pamięcią RAM a kontrolerem pamięci,1
506,Na rysunku przedstawiono gniazdo,C,D-SUB,1
507,Na podstawie zamieszczonej w tabeli informacji dotyczącej dysku twardego określ który wniosek jest prawdziwy,C,Defragmentacja nie jest konieczna fragmentacja całkowita wynosi 9%,1
508,W czasie przeprowadzania procedury POST na ekranie pojawia się komunikat "CMOS Battery State Low". Co w takiej sytuacji należy zrobić aby komunikat nie pojawił się w przyszłości,C,Wymienić baterię na płycie głównej komputera,0
509,Niskopoziomowe formatowanie dysku IDE HDD,C,jest wykonywane przez producenta dysku.,0
510,Procedura POST (Power-On Self Test) uruchamiana przez BIOS komputera odpowiada za,D,przeprowadzenie testu poprawności działania podstawowych podzespołów komputera wykonywanego przy każdym uruchomieniu lub restarcie,0
511,Element oznaczony cyfrą 1 na schemacie karty dźwiękowej,D,tworzy dźwięk o odpowiednim czasie trwania wykorzystując krótkie próbki dźwięku,1
512,Instalowanie systemów Linux oraz Windows 7 przebiegało bez żadnych utrudnień. Systemy zainstalowały się poprawnie z domyślnymi ustawieniami. Na tym samym komputerze przy identycznej konfiguracji podczas instalowania systemu Windows XP wyświetlony został komunikat o braku dysków twardych co może świadczyć o,D,braku sterowników.,0
513,Jaka usługa umożliwia zdalną instalację systemu operacyjnego?,B,RIS,0
514,Na schemacie przedstawiającym budowę modemu za funkcję modulacji i demodulacji odpowiada podzespół oznaczony cyfrą,C,3,1
515,Główny rekord rozruchowy dysku twardego to,A,MBR,0
516,Prefetching to,B,wykonanie przez procesor fazy pobrania następnego rozkazu w trakcie realizacji fazy wykonania rozkazu poprzedniego,0
517,Dla dysku twardego wartość współczynnika MTBF (Mean Time Between Failure) podawana jest w,D,godzinach,0
518,W dokumentacji technicznej płyty głównej jest zapis Supports up to Athlon XP 3000+ procesor. Oznacza on że płyta główna obsługuję procesory Athlon.,B,nie nowsze niż Athlon XP 3000+,0
519,W modelu RGB w systemie szesnastkowym kolor jest zapisany następująco: ABCDEF. Natężenie koloru niebieskiego w tym zapisie ma wartość dziesiętną,D,239,0
520,Który zapis w systemie binarnym odpowiada liczbie 111 zapisanej w systemie dziesiętnym?,A,1101111,0
521,W systemie Linux plik ma ustawione uprawnienia na 541. Właściciel może plik:,C,odczytać i wykonać,0
522,Industry Standard Architecture jest standardem magistrali zgodnie z którym szyna danych ma szerokość:,D,16 bitów,0
523,Która z wymienionych pamięci RAM wykorzystuje do przesyłania danych wznoszące i opadające zbocze sygnału zegarowego?,C,DDR,0
524,Na rysunku przedstawiono gniazdo:,A,DisplayPort,1
525,Które z poleceń systemu Linux powoduje zakończenie procesu?,A,kill,0
526,Równoważnym zapisem 2^32 bajtów jest zapis:,C,4 GiB,0
527,Do wyświetlania zawartości katalogu w systemie Linux służy polecenie:,A,ls,0
528,Polecenie msconfig uruchamia w systemie Windows:,D,narzędzie konfiguracji systemu,0
529,Użytkownik systemu Windows otrzymuje komunikaty o zbyt małej pamięci wirtualnej. Problem ten można rozwiązać przez:,D,zwiększenie pamięci RAM,0
530,W systemie Windows zainstalowanym w wersji obsługującej przydziały dyskowe użytkownik o nazwie Gość,D,może należeć do grup lokalnych i do grup globalnych,0
531,Które określenie dotyczące konta użytkownika Active Directory w systemie Windows jest prawdziwe?,C,Nazwa logowania użytkownika może mieć długość większą niż 100 bajtów,0
532,Harmonogram zadań w systemie Windows pozwala przypisać,A,Więcej niż pięć terminów wykonania dla wskazanego programu,0
533,Na płycie głównej uległa uszkodzeniu zintegrowana karta sieciowa. Komputer nie posiadadysku twardego ani żadnych innych napędów takich jak stacja dysków czy CD-ROM. Klient twierdzi że w sieci firmowej komputery nie posiadają żadnych napędów i wszystko "czyta"się z serwera. W celu zapewnienia utraconej funkcjonalności należy zamontować,D,w gnieździe rozszerzeń kartę sieciową samodzielnie wspierającą funkcję Preboot Execution Environment,0
534,Podłączając drukarkę wyposażoną w złącze równoległe do komputera który posiada tylko porty USB należy zainstalować adapter,B,USB na LPT,0
535,Do oprogramowania typu malware (z ang. malicious software) nie należy oprogramowanie typu:,A,computer aided manufacturing,0
536,Jeśli jednostka alokacji ma 1024 bajty to pliki zamieszczone w tabeli zajmą na dysku:,C,5 klastrów,1
537,Dysk z systemem plików FAT32 na którym często wykonywane są operacje kasowania starych plików oraz zapisu nowych plików ulega:,B,fragmentacji,0
538,W czterech sklepach sprzedawany jest ten sam komputer w różnych cenach. Najtaniej można go nabyć w sklepie:,C,C,1
539,W systemie Linux hasła użytkowników są przechowywane w pliku:,C,passwd,0
540,Postcardware to rodzaj,C,licencji oprogramowania,0
541,Licencja wolnego i otwartego oprogramowania to licencja,D,GNU GPL,0
542,Przedstawiony na rysunku symbol graficzny oznacza opakowanie,C,nadającego się do recyklingu,1
543,W systemie plików NTFS zmianę nazwy pliku umożliwia uprawnienie,C,modyfikacji,0
544,Bezprzewodową transmisję danych zapewnia standard którego elementem jest interfejs,C,IrDA,0
545,Jaki wyraz należałoby wstawić w wykropkowanym miejscu na schemacie blokowym ilustrującym budowę systemu operacyjnego?,B,Powłoka,1
546,Której liczbie dziesiętnej odpowiada liczba FF zapisana w systemie szesnastkowym?,D,255,0
547,Na fotografii przedstawiono,D,taśmę barwiącą,1
548,Po uruchomieniu komputera pojawił się komunikat: Non-system disk or disk error. Replace and strike any key when ready. Przyczyną może być,D,dyskietka włożona do napędu,0
549,W celu powiększenia lub zmniejszania ikony na pulpicie należy kręcić kółkiem myszy przytrzymując jednocześnie klawisz:,B,CTRL,0
550,Na fotografii przedstawiono,D,zaciskarkę wtyków RJ45,1
551,Wewnętrzny dysk twardy IDE zasilany jest poprzez złącze typu,A,Molex,0
552,Ile maksymalnie partycji podstawowych możemy utworzyć na dysku twardym z MBR?,A,4,0
553,Na dysku należy zapisać 100 tysięcy pojedynczych plików każdy o rozmiarze 2570 bajtów. Zapisane pliki zajmą najmniej miejsca na dysku o jednostce alokacji wynoszącej,C,3072 bajty,0
554,Po podłączeniu sprawnej klawiatury do dowolnego z portów USB nie można wybrać awaryjnego trybu uruchomienia systemu Windows. Mimo to klawiatura po uruchomieniu systemu w normalnym trybie działa prawidłowo. Wskazuje to na:,B,niepoprawne ustawienia BIOS-u,0
555,Aby sprawdzić który program najbardziej obciąża procesor w systemie Windows należy uruchomić program:,A,menedżer zadań,0
556,W systemie Windows ustawienia bieżącego użytkownika komputera zapisane są w gałęzi rejestru o skróconej nazwie:,C,HKCU,0
557,Brak odporności na utratę danych z uwagi na fizyczną awarię jednego z dysków jest cechą,D,RAID 0,0
558,Rodzina protokołów której cechą jest wspólna technika szyfrowania to,B,SSH,0
559,Który adres IP w systemie dziesiętnym odpowiada adresowi IP 10101010.00001111.10100000.11111100 zapisanemu w systemie binarnym?,B,170.15.160.252,0
560,Suma liczb binarnych 1010 + 111 zapisana w systemie dziesiętnym wyniesie,B,17,0
561,Jednostka obliczeń zmiennoprzecinkowych to,A,FPU,0
562,Przydzielaniem czasu procesora do określonych zadań zajmuje się,D,system operacyjny,0
563,Najkrótszy czas dostępu posiada,D,pamięć cache procesora,0
564,Przedstawiona na rysunku karta rozszerzeń posiada chłodzenie,B,pasywne,1
565,Błąd systemu Windows typu STOP Error (Blue Screen) polegający na odwoływaniu się systemu do nieprawidłowych danych w pamięci operacyjnej to,C,PAGE_FAULT_IN_NONPAGE_AREA,0
566,Na rysunku przedstawiono złącze zasilania,B,ATX12V zasilania procesora,1
567,Po instalacji z domyślnymi ustawieniami system Windows XP nie obsługuje systemu plików,A,EXT,0
568,Wyłączenie automatycznej aktualizacji systemu Windows powoduje,C,zablokowanie samodzielnego pobierania uaktualnień przez system,0
569,Klawiszem F5 standardowo w programie Explorator systemu Windows aktywowana jest czynność:,C,odświeżania zawartości bieżącego okna,0
570,Polecenie md w wierszu poleceń systemu Windows służy do,B,tworzenia katalogu,0
571,Głównym celem mechanizmu Plug and Play jest:,C,wykrycie nowo podłączonego sprzętu i automatycznie przydzielenie mu zasobów,0
572,Dziedziczenie uprawnień polega na:,D,przeniesieniu uprawnień z obiektu nadrzędnego na obiekt podrzędny,0
573,W systemie Windows domyślne konto administratora po jego wyłączeniu i ponownym uruchomieniu komputera,D,pozostaje dostępne po uruchomieniu systemu w trybie awaryjnym,0
574,Program komputerowy służący do zarządzania strukturą plików i katalogów to:,C,menedżer plików,0
575,Programu CHKDSK używa się w celu,C,naprawy logicznej struktury dysku,0
576,Program firewall stosuje się w celu zabezpieczenia,C,sieci LAN i systemów przed intruzami,0
577,Programem typu wirus którego głównym celem jest rozprzestrzenianie się w sieci komputerowej jest:,A,robak,0
578,Przerywając pracę na komputerze zachowujemy możliwości szybkiego powrotu do pracy po wybraniu w systemie Windows opcji:,B,stanu wstrzymania,0
579,Zgodnie z zamieszczonym cennikiem średni koszt wyposażenia stanowiska komputerowego wynosi:,B,435000 zł,1
580,W systemie Windows zainstalowanym w wersji obsługującej przydziały dyskowe użytkownik o nazwie Gość,D,może należeć do grup lokalnych i do grup globalnych,0
581,Oprogramowanie OEM (Original Equipment Manufacturer) przypisane jest do,B,komputera (lub jego części) na którym jest zainstalowane,0
582,Licencja CAL (Client Access License) daje użytkownikowi prawo,D,korzystania z usług udostępnionych przez serwer,0
583,Oznakowanie CE informuje że,D,wyrób spełnia wymagania pod względem bezpieczeństwa użytkowania ochrony zdrowia i ochrony środowiska,0
584,Recykling można określić jako,A,odzysk,0
585,Gorące podłączenie (hot-plug) oznacza że podłączane urządzenie jest,D,sprawne zaraz po podłączeniu bez konieczności wyłączania bądź restartowania systemu,0
586,Interfejsem wewnętrznym komputera jest,B,AGP,0
587,Urządzeniem wskazującym jest,D,ekran dotykowy,0
588,Wielkość plamki monitora LCD jest równa,C,odległości od początku jednego do początku następnego piksela,0
589,Standardem komunikacji pomiędzy skanerem a programem graficznym jest,D,TWAIN,0
590,Ustawa z dnia 14 grudnia 2012r. o odpadach nakazuje,C,poddanie odpadów w pierwszej kolejności odzyskowi,0
591,W drukarce igłowej materiałem eksploatacyjnym jest,D,taśma barwiąca,0
592,Która macierz RAID jest zbudowana w oparciu o replikację dwóch lub więcej dysków fizycznych?,B,RAID 1,0
593,Który interfejs pozwala przesyłać dane w postaci cyfrowej i analogowej pomiędzy komputerem a monitorem?,B,DVI-I,0
594,Powodem niekontrolowanego zapełnienia dysku może być,A,wirus komputerowy,0
595,Aby uporządkować pliki na dysku w celu przyspieszenia pracy systemu należy:,A,wykonać defragmentację,0
596,W celu odzyskania danych usuniętych przy pomocy kombinacji klawiszy Shift + Delete należy,D,skorzystać z oprogramowania do odzyskiwania danych,0
597,Obraz dysku tworzy się aby,D,zabezpieczyć system aplikacje i dane przed poważną awarią komputera,0
598,W systemach Windows XP Pro/Windows Vista Business/Windows 7 Pro/Windows 8 Pro opcją gwarantująca poufność danych dla użytkowników korzystających z tego samego komputera których dane mogą być wykorzystywane wyłącznie przez nich samych jest,C,samodzielnie przypisywanie plikom atrybutu: zaszyfrowany,0
599,Notacja #102816 oznacza zapis w systemie,D,szesnastkowym,0
600,Liczba 110011(2) zapisana w systemie dziesiętnym ma postać,B,51,0
601,Liczba 45(H) zapisana w systemie ósemkowym ma postać,B,105,0
602,Przerzutnik bistabilny przechowuje bit informacji w pamięci,A,SRAM,0
603,Dodatkowe cechy wyniku operacji wykonywanej przez jednostkę arytmetyczno - logiczną ALU zawiera,C,rejestr flagowy,0
604,Poprawę jakości skanowania można uzyskać poprzez zmianę,A,rozdzielczości,0
605,Który typ dysków jest podłączany do gniazda IDE płyty głównej komputera?,B,ATA,0
606,Standard podstawki procesora bez nóżek to,A,LGA,0
607,Pokazany na rysunku symbol graficzny oznacza złącze,D,FIRE WIRE,1
608,Do ilu maksymalnie GB pamięci RAM może uzyskać dostęp 32-bitowa wersja systemu Windows?,B,4 GB,0
609,W którym typie macierzy przestrzeń wszystkich dysków fizycznych jest widziana jako jeden dysk logiczny?,A,RAID 0,0
610,Do przywracania struktury kluczy rejestru z kopii zapasowej w systemie Windows stosowane jest polecenie,C,reg restore,0
611,W systemie Linux polecenie chown umożliwia,B,zmianę właściciela pliku,0
612,W systemie Linux wyświetlenie informacji o uruchomionych procesach umożliwia polecenie,B,ps,0
613,W systemie Windows uruchomienie usługi dotyczącej wydajności komputera realizowane jest za pomocą polecenia,C,perfmon.msc,0
614,Programem służącym do diagnozowania połączeń między hostami w systemie Windows jest,A,ping,0
615,Które polecenie należy wykonać w celu zamontowania pierwszej partycji logicznej dysku primary slave w systemie Linux?,A,mount /dev/hda2 /mnt/hdd,0
616,W dokumentacji technicznej procesora umieszczonego na płycie głównej komputera szybkość zegara podaje się w,C,GHz,0
617,Autorskie prawo osobiste twórcy do programu komputerowego,A,nigdy nie wygasa,0
618,Oprogramowanie komputerowe z którego można korzystać za darmo i bez ograniczeń czasowych rozpowszechniane jest w ramach licencji typu,D,public domain,0
619,Grupowa licencja oprogramowania Microsoft to licencja typu,C,MOLP,0
620,Asynchronicznym interfejsem szeregowym zgodnym ze standardem RS-232 jest port,D,COM,0
621,Interfejs USB 3.0 umożliwia transfer danych z prędkością do,D,5 Gb/s,0
622,System oświetlenia oparty o trójkolorowe diody LED wykorzystują skanery typu,A,CIS,0
623,Jeżeli rozdzielczość myszy wynosi 200 dpi a monitora Full HD to przeciągnięcie kursora w poprzek ekranu wymaga przesunięcia myszy o,C,około 25 cm,0
624,Technika zwana rytownictwem odnosi się do zasady działania plotera,D,grawerującego,0
625,Elementem eksploatacyjnym drukarki laserowej NIE JEST,B,głowica,0
626,Klawiatura QWERTY umożliwiająca wprowadzenie znaków charakterystycznych dla języka polskiego nazywana jest również klawiaturą,C,programisty,0
627,Dla zmiany zeskanowanego obrazu na tekst należy zastosować oprogramowanie wykorzystujące techniki,C,OCR,0
628,Do pomiaru wartości rezystancji służy,A,omomierz,0
629,Symulowanie stanów logicznych obwodów cyfrowych umożliwia,C,impulsator,0
630,Jeden długi i dwa krótkie sygnały dźwiękowe BIOS POST firmy AMI oraz AWARD oznaczają błąd,C,karty graficznej,0
631,Aby sprawdzić integralność systemu plików w systemie Linux należy użyć polecenia,B,fsck,0
632,W celu przywrócenia prawidłowych wersji plików systemowych w systemie Windows stosowane jest narzędzie,A,sfc,0
633,Narzędzie System Image Recovery dostępne w zaawansowanych opcjach rozruchu systemu Windows 7 umożliwia,C,przywrócenie działania systemu wykorzystując jego kopię zapasową,0
634,Przyczyną awarii drukarki igłowej może być usterka,C,elektromagnesu,0
635,W celu zwolnienia adresu IP dla danej karty sieciowej w systemie Windows należy zastosować polecenie systemowe,B,ipconfig /release,0
636,Plik messages w systemie Linux przechowuje,D,ogólne informacje o zdarzeniach systemowych,0
637,Które z wymienionych poleceń jest stosowane w celu naprawy głównego rekordu rozruchowego dysku twardego systemu z rodziny Windows?,A,fixmbr,0
638,Podczas przeglądania stron WWW w celu podniesienia bezpieczeństwa prywatnych danych jest wskazane wyłączenie w opcjach przeglądarki,D,funkcji zapamiętywania haseł,0
639,Które złącze karty graficznej NIE jest interfejsem cyfrowym?,D,D-SUB 15pin,0
640,Liczba 3FC7 zapisana w systemie dwójkowym będzie miała postać:,A,11111111000111,0
641,Koprocesor arytmetyczny którego rolą w mikroprocesorze jest dokonywanie obliczeń na liczbach zmiennoprzecinkowych został na schemacie oznaczony cyfrą,D,4,1
642,Standard ACPI BIOSu komputera odpowiada za,C,zarządzanie energią i konfiguracją,0
643,Dodatkowa funkcja mikroprocesora Intel Turbo Boost pozwala na,B,automatyczną regulację częstotliwości pracy mikroprocesora w zależności od obciążenia,0
644,Kości pamięci DDR3 SDRAM zasilane są napięciem,A,15 V,1
645,Określenie w dyskach twardych oznacza,D,sumę średniego czasu wyszukiwania i opóźnienia,0
646,Wyjście słuchawek lub głośników minijack oznaczone jest na karcie dźwiękowej kolorem,B,zielonym,0
647,Technologia zapewnia,A,możliwość podłączenia urządzenia do włączonego komputera,0
648,Układ elektroniczny RAMDAC występuje w,C,karcie graficznej,0
649,Ile klawiszy funkcyjnych znajduje się na klawiaturze w standardzie QWERTY?,C,12,0
650,Jakim poleceniem w systemie Linux można zmienić prawa dostępu do pliku bądź katalogu?,A,chmod,0
651,Przedstawiony na rysunku interfejs to,A,HDMI,1
652,Jakim poleceniem w systemie Linux nadamy pełny dostęp wszystkim użytkownikom do zasobów?,A,chmod 777,0
653,AC-72-89-17-6E-B2 to adres fizyczny karty sieciowej zapisany w postaci,D,heksadecymalnej,0
654,Liczba 10011001100 zapisana w postaci heksadecymalnej ma postać,A,4CC,0
655,Konwerter RAMDAC przetwarza sygnał,B,cyfrowy na analogowy,0
656,W systemie Linux plik ma ustawione uprawnienia na 541. Właściciel może plik,C,odczytać i wykonać,0
657,W komputerach wykonujących zadania serwerowe wymagające dużej wydajności należy zastosować dysk z interfejsem,A,SAS,0
658,W technologii Blu-ray nośnik jednokrotnego zapisu oznaczany jest,B,BD-R,0
659,Który poziom macierzy RAID zapisuje dane równolegle na kilku dyskach jako jedno urządzenie,A,RAID 0,0
660,W systemie plików NTFS zmianę nazwy pliku umożliwia uprawnienie,C,modyfikacji,0
661,Którego polecenia należy użyć w konsoli do naprawy błędów na dysku?,C,CHKDSK,0
662,W celu powiększenia lub zmniejszenia ikony na pulpicie należy kręcić rolką myszki przytrzymując jednocześnie klawisz,B,CTRL,0
663,Wewnętrzny dysk twardy IDE zasilany jest poprzez złącze typu,A,Molex,0
664,W systemie Linux do monitorowania w czasie rzeczywistym uruchomionych procesów służy polecenie:,A,ps,0
665,W systemie Windows XP do zmiany typu systemu plików na dysku z FAT32 na NTFS należy skorzystać z programu,A,convert,0
666,Jednostka obliczeń zmiennoprzecinkowych to,A,FPU,0
667,Wskaż złącze które NIE występuje w zasilaczach ATX,C,DE-15/HD-15,0
668,Przedstawiona na rysunku karta rozszerzeń posiada chłodzenie,B,pasywne,1
669,Który aplet panelu sterowania w systemie Windows 7 umożliwia ograniczenie czasu pracy użytkownika na komputerze?,D,Kontrola rodzicielska,0
670,Po instalacji z domyślnymi ustawieniami system Windows XP NIE OBSŁUGUJE systemu plików,A,EXT,0
671,Bezpłatnym programem antywirusowym dostarczanym przez Microsoft dla użytkowników legalnych wersji systemu operacyjnego Windows jest,A,Microsoft Security Essentials,0
672,Licencja oprogramowania umożliwiająca darmowe rozpowszechnianie aplikacji to,C,freeware,0
673,Głównym celem mechanizmu Plug and Play jest,C,wykrycie nowo podłączonego sprzętu i automatycznie przydzielenie mu zasobów,0
674,Na rysunku przedstawiono taśmę (kabel) złącza,B,ATA,1
675,Interfejs HDMI komputera pozwala na przesyłanie sygnału,C,cyfrowego video i audio,0
676,Licencja CAL(Client Access License) daje użytkownikowi prawo,D,korzystanie z usług udostępnionych przez serwer,0
677,Program antyspyware chroni przed,B,programami szpiegującymi,0
678,Wielkość plamki monitora LCD jest równa,C,odległości od początku jednego do początku następnego piksela,0
679,W przypadku zaschnięcia dyszy w drukarce atramentowej spowodowanych długimi przestojami należy w pierwszej kolejności,D,dokonać oczyszczenia dyszy z poziomu odpowiedniego programu,0
680,Interfejsem wewnętrznym komputera jest,B,AGP,0
681,W drukarce laserowej do utrwalania wydruku na papierze służą,A,rozgrzane wałki,0
682,Aby uniknąć uszkodzenia układów scalonych podczas naprawy sprzętu komputerowego należy stosować,D,opaskę antystatyczną,0
683,System S.M.A.R.T. przeznaczony jest do monitorowania pracy i wykrywania błędów,C,dysków twardych,0
684,Wskaż najbardziej prawdopodobną przyczynę wystąpienia komunikatu: przy uruchomieniu komputera,D,Rozładowana bateria podtrzymująca ustawienia BIOS-u,0
685,W komunikacie o błędzie systemu informacja wyświetlana w postaci heksadecymalnej oznacza,A,kod błędu,0
686,Najbardziej prawdopodobną przyczyną słabej jakości wydruku drukarki laserowej charakteryzującego się widocznym rozmazywaniem tonera jest,C,zbyt niska temperatura utrwalacza,1
687,Ustawienia wszystkich użytkowników komputera zapisane są w gałęzi rejestru o akronimie,A,HKU,0
688,Pliki które znajdują się w koszu można odzyskać poprzez zastosowanie polecenia,D,Przywróć,0
689,Podstawowym mechanizmem ochrony danych znajdujących się na serwerze jest,B,tworzenie kopii bezpieczeństwa,0
690,Aby przywrócić ustawienia domyślne płyty głównej w przypadku gdy nie ma możliwości uruchomienia programu BIOS Setup należy,C,przełożyć zworkę na płycie głównej,0
691,Kopia różnicowa polega na,C,kopiowaniu tylko plików które zostały utworzone lub zmienione od czasu utworzenia ostatniej kopii pełnej,0
692,Przedstawiony na rysunku symbol graficzny oznacza opakowanie,C,nadające się do recyklingu,1
693,Ile maksymalnie partycji podstawowych na dysku twardym z tablicą MBR pozwala utworzyć narzędzie Zarządzanie dyskami dostarczone wraz z systemem Windows?,D,4,0
694,W jakim systemie liczbowym są zapisane zakresy We/Wy przedstawione na rysunku?,D,Szesnastkowym,1
695,Podstawowe znaczenie przy budowie stacji roboczej na której będzie działać wiele wirtualnych maszyn ma:,D,Liczba rdzeni procesora,0
696,Złącze przedstawione na zdjęciu umożliwia podłączenie,A,Monitora,1
697,Które urządzenie NIE powinno być naprawiane w trakcie używania urządzeń antystatycznych?,C,Zasilacz,0
698,Liczba 10101110110(2) zapisana w systemie szesnastkowym ma postać,C,576,0
699,Przedstawioną na rysunku kartę rozszerzeń można zainstalować w komputerze w którym na płycie głównej jest co najmniej jeden wolny slot,B,PCI,1
700,System plików który umożliwia w systemie Windows kompresję danych i nadawanie uprawnień do folderów i plików to,C,NTFS,0
701,Po podłączeniu sprawnej klawiatury do dowolnego z portów USB nie można wybrać awaryjnego trybu uruchomienia systemu Windows. Mimo to klawiatura po uruchomieniu systemu w normalnym trybie działa prawidłowo. Wskazuje to na,B,Niepoprawne ustawienia BIOS-u,0
702,Przy wyborze zasilacza komputerowego największe znaczenie,C,Ma łączna moc wszystkich podzespołów komputerowych,0
703,W systemie operacyjnym Linux ilość wolnego miejsca na dyskach można sprawdzić poleceniem,B,df,0
704,Najczęstszą przyczyną rozmazywania się tonera na wydrukach z drukarki laserowej jest,A,Zbyt niska temperatura utrwalacza,0
705,Za przydzielanie czasu procesora do określonych zadań odpowiada,D,System operacyjny,0
706,Które konto nie jest kontem wbudowanym w system Windows XP?,B,Admin,0
707,W systemie Windows 7 do modyfikacji konfiguracji rozruchowej komputera za pomocą linii poleceń należy zastosować polecenie,C,bcdedit,0
708,Wyłączenie automatycznej aktualizacji systemu Windows powoduje,C,Zablokowanie samodzielnego pobierania uaktualnień przez system,0
709,Wskaż 24-pinowe lub 29-pinowe złącze żenskie które może przesyłać skompresowany cyfrowy sygnał na monitor.,D,DVI,0
710,Interfejs SATA 2 (3Gb/s) zapewnia przepustowość,C,375 MB/s,0
711,Aby w systemie Windows przydzielić użytkownikowi prawo do zmiany czasu systemowego należy użyć przystawki,A,secpol.msc,0
712,Program typu firewall nie chroni przed,A,Wirusami rozprzestrzeniającymi się pocztą e-mail,0
713,Korzystając z zamieszczonej w tabeli specyfikacji płyty głównej określ maksymalną liczbę kart rozszerzeń które można podłączyć do magistrali Peripheral Component Interconnect,D,5,1
714,Ile urządzeń może być podłączonych do portu IEEE1394?,D,63,0
715,Które narzędzie należy użyć w systemie Windows do wyświetlenia informacji na temat problemów systemowych?,B,Podgląd zdarzeń,0
716,Oprogramowanie przypisane do jednego komputera lub jego części uniemożliwiające ponowną instalację na nowszym sprzęcie zakupionym przez tego samego użytkownika to,D,OEM,0
717,Umieszczany na urządzeniach symbol będący certyfikatem zgodności urządzeń pod względem emisji promieniowania ergonomii energooszczędności i ekologii przedstawiono na rysunku,A,A,1
718,Który z interfejsów jest portem równoległym?,D,IEEE1284,0
719,Na rysunku przedstawiono element który jest częścią składową,A,HDD,1
720,Jaka kopia w procesie archiwizacji plików pozostawia znacznik archiwizacji?,B,Różnicowa,0
721,Jakiego typu złącze należy użyć aby podłączyć zasilanie do CD-ROM?,B,Molex,0
722,Bęben światłoczuły jest niezbędnym elementem działania drukarki,B,Laserowej,0
723,Zużyte urządzenie elektryczne lub elektroniczne na którym umieszczony jest znak przedstawiony na rysunku należy,C,Przekazać do punktu odbioru zużytej elektroniki,1
